Fecha,DXY,VIX,Inflacion_USA
2022-05-03,103.47000122070312,,288.582
2022-05-04,102.58999633789062,21.03,288.582
2022-05-05,103.75,31.2,288.582
2022-05-06,103.66000366210938,,288.582
2022-05-09,103.6500015258789,25.99,288.582
2022-05-10,103.91999816894531,28.55,288.582
2022-05-11,103.8499984741211,,288.582
2022-05-12,104.8499984741211,20.75,288.582
2022-05-13,104.55999755859375,,288.582
2022-05-16,104.19000244140625,,288.582
2022-05-17,103.36000061035156,,288.582
2022-05-18,103.80999755859375,,288.582
2022-05-19,102.72000122070312,,288.582
2022-05-20,103.1500015258789,,288.582
2022-05-23,102.08000183105469,,288.582
2022-05-24,101.86000061035156,,288.582
2022-05-25,102.05999755859375,,288.582
2022-05-26,101.83000183105469,,288.582
2022-05-27,101.66999816894531,,288.582
2022-05-31,101.75,,288.582
2022-06-01,102.55000305175781,19.61,295.072
2022-06-02,101.7699966430664,,295.072
2022-06-03,102.13999938964844,,295.072
2022-06-06,102.44000244140625,25.07,295.072
2022-06-07,102.31999969482422,26.73,295.072
2022-06-08,102.54000091552734,,295.072
2022-06-09,103.22000122070312,26.91,295.072
2022-06-10,104.1500015258789,30.52,295.072
2022-06-13,105.08000183105469,,295.072
2022-06-14,105.5199966430664,,295.072
2022-06-15,105.16000366210938,,295.072
2022-06-16,103.62999725341797,,295.072
2022-06-17,104.69999694824219,,295.072
2022-06-21,104.44000244140625,,295.072
2022-06-22,104.19999694824219,,295.072
2022-06-23,104.43000030517578,,295.072
2022-06-24,104.19000244140625,,295.072
2022-06-27,103.94000244140625,,295.072
2022-06-28,104.51000213623047,,295.072
2022-06-29,105.11000061035156,,295.072
2022-06-30,104.69000244140625,,295.072
2022-07-01,105.13999938964844,18.76,294.94
2022-07-05,106.5,,294.94
2022-07-06,107.0999984741211,24.02,294.94
2022-07-07,107.12999725341797,26.08,294.94
2022-07-08,107.01000213623047,,294.94
2022-07-11,108.0199966430664,24.35,294.94
2022-07-12,108.06999969482422,22.68,294.94
2022-07-13,107.95999908447266,,294.94
2022-07-14,108.54000091552734,,294.94
2022-07-15,108.05999755859375,,294.94
2022-07-18,107.37000274658203,,294.94
2022-07-19,106.68000030517578,,294.94
2022-07-20,107.08000183105469,,294.94
2022-07-21,106.91000366210938,,294.94
2022-07-22,106.7300033569336,,294.94
2022-07-25,106.4800033569336,,294.94
2022-07-26,107.19000244140625,,294.94
2022-07-27,106.44999694824219,,294.94
2022-07-28,106.3499984741211,,294.94
2022-07-29,105.9000015258789,,294.94
2022-08-01,105.44999694824219,,295.162
2022-08-02,106.23999786376953,21.44,295.162
2022-08-03,106.51000213623047,35.13,295.162
2022-08-04,105.69000244140625,21.16,295.162
2022-08-05,106.62000274658203,,295.162
2022-08-08,106.44000244140625,21.29,295.162
2022-08-09,106.37000274658203,23.61,295.162
2022-08-10,105.19999694824219,,295.162
